TradeID,UserID,StrategyID,AssetID,TypeID,EntryPrice,ExitPrice,Quantity,ProfitLoss,TradeDate
1,4,6,14,3,154.34,151.32,5,-15.1,2023-05-08 00:00:00
2,13,2,9,3,169.2928,165.53,10,-37.63,2023-07-16 00:00:00
3,3,1,11,2,186.38,182.26,200,-824.0,2024-01-25 00:00:00
4,9,8,11,3,149.76,153.52,25,94.0,2024-10-25 00:00:00
5,3,10,11,2,172.05,175.3,0.1,0.33,2024-10-17 00:00:00
6,18,4,11,3,190.57,188.74,100,-183.0,2023-11-20 00:00:00
7,13,5,2,2,1.2931,1.2681,1000,-25.0,2024-11-02 00:00:00
8,16,7,15,4,300.0,308.2,5,41.0,2023-09-27 00:00:00
9,19,7,15,4,330.68,328.11,2,-5.14,2023-04-04 00:00:00
10,2,2,3,2,145.8416,146.8488,1,1.01,2024-09-02 00:00:00
11,15,9,5,1,0.9276,0.9569,0.1,0.0,2024-10-18 00:00:00
12,11,2,5,4,0.8911,0.9149,0.1,0.0,2024-05-27 00:00:00
13,6,9,15,1,401.87,411.58,10,97.1,2023-07-23 00:00:00
14,5,6,13,2,141.58,139.37,100,-221.0,2024-09-05 00:00:00
15,11,8,1,1,1.115,1.0909,0.1,-0.0,2023-09-03 00:00:00
16,2,4,15,1,291.99,294.06,5,10.35,2023-05-09 00:00:00
17,5,8,9,2,67.7102,66.8,1000,-910.2,2024-07-06 00:00:00
18,7,5,7,3,2376.2002,2396.71,1000,20509.8,2023-03-07 00:00:00
19,11,1,10,2,0.6354,0.65,100,1.46,2023-08-23 00:00:00
20,3,1,14,3,106.38,109.05,1000,2670.0,2024-07-06 00:00:00
21,5,10,10,4,0.4972,0.51,200,2.56,2023-04-10 00:00:00
22,14,6,7,4,2434.0493,2389.1,25,-1123.73,2023-04-11 00:00:00
23,2,7,12,3,254.08,256.81,5,13.65,2024-04-04 00:00:00
24,5,7,3,3,139.2526,138.3464,5,-4.53,2023-04-11 00:00:00
25,2,9,14,1,187.21,183.1,500,-2055.0,2024-02-21 00:00:00
26,16,8,4,4,0.6932,0.6967,1,0.0,2023-09-29 00:00:00
27,15,5,7,4,1809.5937,1871.23,10,616.36,2024-07-09 00:00:00
28,2,6,1,1,1.0909,1.1243,500,16.7,2023-02-28 00:00:00
29,17,2,14,2,106.17,109.45,1,3.28,2023-05-03 00:00:00
30,19,4,10,1,0.6478,0.66,5,0.06,2023-11-20 00:00:00
31,9,4,11,3,154.32,158.2,0.1,0.39,2024-04-13 00:00:00
32,11,2,1,4,1.0935,1.0858,5,-0.04,2023-08-07 00:00:00
33,17,5,3,3,147.6173,145.7882,500,-914.55,2024-03-24 00:00:00
34,18,5,10,1,0.6671,0.65,200,-3.42,2023-05-18 00:00:00
35,9,2,15,1,383.94,389.11,1000,5170.0,2023-12-18 00:00:00
36,7,5,9,4,65.2018,64.81,25,-9.8,2024-03-09 00:00:00
37,9,1,1,3,1.104,1.0927,2,-0.02,2024-07-18 00:00:00
38,14,9,1,1,1.0553,1.0309,5,-0.12,2023-02-06 00:00:00
39,12,10,9,2,97.3616,98.91,100,154.84,2024-01-02 00:00:00
40,7,4,11,1,161.22,157.59,10,-36.3,2023-06-08 00:00:00
41,8,3,13,2,155.26,159.47,0.5,2.11,2024-02-26 00:00:00
42,8,5,3,1,137.6508,140.2828,1000,2632.0,2024-04-16 00:00:00
43,12,5,14,2,120.06,118.5,0.1,-0.16,2023-03-13 00:00:00
44,9,6,11,4,180.77,178.67,100,-210.0,2023-04-29 00:00:00
45,9,3,10,3,0.4153,0.41,0.5,-0.0,2024-03-22 00:00:00
46,20,9,2,4,1.292,1.3002,1,0.01,2023-01-02 00:00:00
47,17,9,11,2,161.85,165.88,0.5,2.02,2024-09-30 00:00:00
48,11,2,12,3,215.93,213.44,0.1,-0.25,2024-07-21 00:00:00
49,5,4,7,4,2854.6359,2805.22,0.1,-4.94,2024-02-20 00:00:00
50,18,1,5,3,0.8947,0.8794,0.5,-0.01,2024-04-21 00:00:00
51,15,8,11,2,170.67,166.54,500,-2065.0,2024-11-05 00:00:00
52,3,5,9,3,36.8097,36.45,0.1,-0.04,2023-08-19 00:00:00
53,7,3,1,1,1.0671,1.0996,200,6.5,2024-04-11 00:00:00
54,14,10,4,4,0.6646,0.681,100,1.64,2023-04-20 00:00:00
55,14,4,3,4,131.0044,134.9935,2,7.98,2023-05-17 00:00:00
56,15,9,9,3,191.0071,187.71,5,-16.49,2024-03-12 00:00:00
57,18,8,15,2,384.11,389.02,1000,4910.0,2024-10-14 00:00:00
58,9,9,8,2,268.6494,272.3,0.1,0.37,2023-12-10 00:00:00
59,11,9,2,2,1.2321,1.2439,1000,11.8,2023-03-07 00:00:00
60,14,7,6,4,41630.9694,42363.85,10,7328.81,2024-12-13 00:00:00
61,1,10,7,4,1511.7922,1553.52,1,41.73,2024-07-05 00:00:00
62,18,10,15,2,348.35,355.17,1,6.82,2023-12-11 00:00:00
63,13,3,14,4,182.76,179.89,1,-2.87,2024-08-29 00:00:00
64,19,1,2,4,1.2309,1.2389,1,0.01,2023-12-02 00:00:00
65,7,8,6,3,55449.1883,56977.38,1,1528.19,2023-09-16 00:00:00
66,3,8,1,1,1.12,1.1474,25,0.68,2023-02-11 00:00:00
67,1,4,4,1,0.6735,0.6864,200,2.58,2024-07-31 00:00:00
68,7,8,12,3,249.7,255.5,200,1160.0,2023-06-17 00:00:00
69,10,2,10,1,0.7716,0.75,1,-0.02,2024-02-11 00:00:00
70,7,2,10,2,0.4408,0.43,10,-0.11,2023-05-04 00:00:00
71,19,1,6,4,51460.8536,52717.85,100,125699.64,2024-03-06 00:00:00
72,16,2,7,3,2771.1702,2718.11,1,-53.06,2023-06-30 00:00:00
73,17,5,10,4,0.5859,0.58,0.5,-0.0,2023-09-09 00:00:00
74,3,5,15,4,314.14,321.46,1,7.32,2023-12-11 00:00:00
75,1,8,14,3,116.37,119.74,0.5,1.68,2023-10-14 00:00:00
76,20,5,9,1,112.9929,114.38,1,1.39,2024-05-15 00:00:00
77,18,4,12,4,233.97,240.71,200,1348.0,2023-10-29 00:00:00
78,8,7,12,2,189.81,187.06,5,-13.75,2023-12-19 00:00:00
79,14,9,6,3,53114.1977,53780.36,200,133232.46,2023-07-17 00:00:00
80,11,2,12,2,174.9,173.06,10,-18.4,2024-06-21 00:00:00
